u_id	f_id	score	actual name	result name
1034	/m/0b17f	424.826843	Hiram College	Hiram College
1035	/m/02qw_v	1019.759521	Hobart and William Smith Colleges	Hobart and William Smith Colleges
1036	/m/02qxvp3	343.131195	Hodges University	Hodges University
1037	/m/043nj8	432.722839	Hollins University	Hollins University
1038	/m/0g1x5x	522.386475	Holy Apostles College and Seminary	Holy Apostles College and Seminary
1039	/m/02c9dj	998.910889	Holy Cross College	College of the Holy Cross
1040	/m/08r5w6	531.443726	Holy Family University	Holy Family University
1041	/m/0c7g9x	529.629272	Holy Names University	Holy Names University
1042	/m/09fff8	484.094086	Hope International University	Hope International University
1043	/m/01xyvs	415.571228	Houghton College	Houghton College
1044	/m/06f9b3	591.719055	Houston Baptist University	Houston Baptist University
1045	/m/084cp4	582.294739	Howard Payne University	Howard Payne University
1046	/m/09tbsh	705.645203	Hult International Business School	Hult International Business School
1047	/m/0bwkcj	324.796478	Humphreys College	Humphreys College
1048	/m/07h7xf	400.575562	Huntington University	Huntington University
1049	/m/06qrlj	524.151062	Huston-Tillotson University	Huston-Tillotson University
1050	/m/0220q6	536.351379	Illinois College	University of Illinois at Urbana-Champaign
1051	/m/09c0ln	483.857086	Illinois Institute of Art at Chicago	The Illinois Institute of Art - Chicago
1052	/m/017zq0	786.397949	Illinois State University	Illinois State University
1053	/m/04pqkc	690.133179	Indian River State College	Indian River State College
1054	/m/041b09	546.76947	Indiana Institute of Technology	Indiana Institute of Technology
1055	/m/04vdjf	494.018616	Indiana University East	Indiana University East
1056	/m/05b9mw	519.227478	Indiana University Northwest	Indiana University Northwest
1057	/m/059lqq	531.061462	Indiana University Southeast	Indiana University Southeast
1058	/m/02jwl7	487.367676	Indiana University--Kokomo	Indiana University Kokomo
1059	/m/04vz9r	668.952271	Indiana University--South Bend	Indiana University South Bend
1060	/m/022s82	1842.750366	Indiana University-Purdue University--Fort Wayne	Indiana University-Purdue University Fort Wayne
1061	/m/09l03d	266.685303	Institute of American Indian and Alaska Native Culture and Arts Development	Institute of American Indian Arts
1062	/m/0clvxmk	679.186157	Inter American University of Puerto Rico--Aguadilla	Inter American University of Puerto Rico-Aguadilla
1063	/m/0clvxp2	670.037598	Inter American University of Puerto Rico--Arecibo	Inter American University of Puerto Rico-Arecibo
1064	/m/0clvxpr	611.652466	Inter American University of Puerto Rico--Barranquitas	Inter American University of Puerto Rico-Barranquitas
1065	/m/0clvxst	615.044189	Inter American University of Puerto Rico--Bayamon	Inter American University of Puerto Rico-Bayamon
1066	/m/0clvxnn	614.311401	Inter American University of Puerto Rico--Fajardo	Inter American University of Puerto Rico-Fajardo
1067	/m/0clvxqm	603.854919	Inter American University of Puerto Rico--Guayama	Inter American University of Puerto Rico-Guayama
1068	/m/041j50	10	Inter American University of Puerto Rico--Metropolitan Campus	Inter-American University of Puerto Rico
1069	/m/0clvxqd	456.267212	Inter American University of Puerto Rico--Ponce	Inter American University of Puerto Rico-Ponce
1070	/m/0cngqmt	751.254578	Inter American University of Puerto Rico--San German	Inter American University of Puerto Rico-San German
1071	/m/02qm489	408.009186	International College of the Cayman Islands	International College of the Cayman Islands
1072	/m/01smn5	522.375366	Iona College	Iona College
1073	/m/03pxfy	529.830505	Iowa Wesleyan College	Iowa Wesleyan College
1074	/m/03zj9	571.060913	Ithaca College	Ithaca College
1075	/m/03y54x	500.683746	Jacksonville University	Jacksonville University
1076	/m/0ft5nk	451.903717	Jarvis Christian College	Jarvis Christian College
1077	/m/0hqqd	788.695984	Jewish Theological Seminary of America	Jewish Theological Seminary of America
1078	/m/017fqp	650.865173	John Carroll University	John Carroll University
1079	/m/06bmr3	645.332642	John F. Kennedy University	John F. Kennedy University
1080	/m/0803wp	746.253845	Johnson C. Smith University	Johnson C. Smith University
1081	/m/02m0vy	518.887939	Johnson State College	Johnson State College
1082	/m/05cf4r	173.816528	Johnson University	Johnson Bible College
