1673,/m/04n258,19.369432,University of Maine--Farmington,University of Maine at Farmington,87,TRUE,,
1061,/m/09l03d,20.538424,Institute of American Indian and Alaska Native Culture and Arts Development,Institute of American Indian Arts,87,TRUE,,
1706,/m/03kpt9,24.687496,University of Puerto Rico--Cayey,University of Puerto Rico at Cayey,87,TRUE,,
2000,/m/075z01,32.522453,carey school of business,W. P. Carey School of Business,87,,,
1589,/m/04xn1k,33.770405,Texas A&M University--Galveston,Texas A&M University at Galveston,87,,,
1496,/m/09j0nm,36.387653,Southern University--New Orleans,Southern University at New Orleans,87,,,
1692,/m/05jnnd,37.913475,University of Nebraska--Kearney,University of Nebraska at Kearney,87,,,
1869,/m/0279l1,47.951012,elizabeth city state university,Elizabeth City State University,87,,,
1732,/m/02zg4q,49.985565,University of Tennessee--Martin,University of Tennessee at Martin,87,,,
110,/m/03jc1t,51.697842,University of Alabama--Huntsville,University of Alabama in Huntsville,87,,,
353,/m/03jc1t,51.697842,University of Alabama--Huntsville,University of Alabama in Huntsville,87,,,
472,/m/02fs_d,55.318794,University of Louisiana--Monroe,University of Louisiana at Monroe,87,,,
1984,/m/04x8mj,59.224892,Pennsylvania Academy of Fine Arts,Pennsylvania Academy of the Fine Arts,87,,,
1739,/m/03szws,63.011429,University of Texas--San Antonio,University of Texas at San Antonio,87,,,
97,/m/01y17m,68.313255,University of Illinois--Chicago,University of Illinois at Chicago,87,,,
99,/m/02jyr8,68.402946,University of Alabama--Birmingham,University of Alabama at Birmingham,87,,,
1529,/m/0clvn30,233.334335,"St. John's College - Springfield, IL",St Johns College,87,,,
1725,/m/07r6ml,10,"University of St. Francis - Fort Wayne, IN",University of Saint Francis,88,TRUE,Correct,
1707,/m/03kq52,24.512686,University of Puerto Rico--Humacao,University of Puerto Rico at Humacao,88,TRUE,,
964,/m/03wwjs,25.968019,Florida State College--Jacksonville,Florida State College at Jacksonville,88,,,
1275,/m/03jjh2,28.34458,Mount St. Mary's University,Mount Saint Mary's University,88,,,
1669,/m/02fszn,39.355507,University of Indianapolis,Indiana University-Purdue University Indianapolis,88,,,
971,/m/06rkfs,43.415909,Franklin and Marshall College,Franklin & Marshall College,88,,,
1668,/m/024818,44.524731,University of Illinois--Springfield,University of Illinois at Springfield,88,,,
1927,/m/024818,44.524731,University of Illinois-Springfield,University of Illinois at Springfield,88,,,
1649,/m/07bmxx,45.678307,University of Arkansas--Monticello,University of Arkansas at Monticello,88,,,
419,/m/02zccd,46.53442,University of Louisiana--Lafayette,University of Louisiana at Lafayette,88,,,
